time_minutes,timestamp_ms,timestamp_local,station_name,kind
141.525467,1720099291528,2024-07-04T09:21:31.528-04:00,de Maisonneuve / Aylmer (ouest),return
141.668017,1720099300081,2024-07-04T09:21:40.081-04:00,Berri / Cherrier,rental
141.688750,1720099301325,2024-07-04T09:21:41.325-04:00,de Maisonneuve / Aylmer (ouest),return
142.159300,1720099329558,2024-07-04T09:22:09.558-04:00,Prince-Arthur / St-Urbain,rental
142.541867,1720099352512,2024-07-04T09:22:32.512-04:00,Prince-Arthur / St-Urbain,rental
142.862683,1720099371761,2024-07-04T09:22:51.761-04:00,Berri / Cherrier,rental
143.185283,1720099391117,2024-07-04T09:23:11.117-04:00,Berri / Cherrier,return
143.823417,1720099429405,2024-07-04T09:23:49.405-04:00,Berri / Cherrier,rental
143.877383,1720099432643,2024-07-04T09:23:52.643-04:00,de Maisonneuve / Aylmer (ouest),return
144.033500,1720099442010,2024-07-04T09:24:02.010-04:00,Prince-Arthur / St-Urbain,rental
144.341567,1720099460494,2024-07-04T09:24:20.494-04:00,de Maisonneuve / Aylmer (ouest),return
144.430750,1720099465845,2024-07-04T09:24:25.845-04:00,Prince-Arthur / St-Urbain,return
144.824317,1720099489459,2024-07-04T09:24:49.459-04:00,Berri / Cherrier,return
145.352267,1720099521136,2024-07-04T09:25:21.136-04:00,Berri / Cherrier,return
145.466200,1720099527972,2024-07-04T09:25:27.972-04:00,Prince-Arthur / St-Urbain,rental
145.743083,1720099544585,2024-07-04T09:25:44.585-04:00,Berri / Cherrier,rental
145.746533,1720099544792,2024-07-04T09:25:44.792-04:00,Berri / Cherrier,rental
148.183217,1720099690993,2024-07-04T09:28:10.993-04:00,de Maisonneuve / Aylmer (ouest),return
150.090717,1720099805443,2024-07-04T09:30:05.443-04:00,Berri / Cherrier,rental
151.210100,1720099872606,2024-07-04T09:31:12.606-04:00,Prince-Arthur / St-Urbain,rental
153.272683,1720099996361,2024-07-04T09:33:16.361-04:00,de Maisonneuve / Aylmer (ouest),rental
155.575567,1720100134534,2024-07-04T09:35:34.534-04:00,Prince-Arthur / St-Urbain,return
155.605833,1720100136350,2024-07-04T09:35:36.350-04:00,Berri / Cherrier,rental
157.449300,1720100246958,2024-07-04T09:37:26.958-04:00,de Maisonneuve / Aylmer (ouest),rental
161.018017,1720100461081,2024-07-04T09:41:01.081-04:00,Berri / Cherrier,rental
161.206550,1720100472393,2024-07-04T09:41:12.393-04:00,Berri / Cherrier,rental
161.333633,1720100480018,2024-07-04T09:41:20.018-04:00,Berri / Cherrier,rental
162.125183,1720100527511,2024-07-04T09:42:07.511-04:00,Berri / Cherrier,rental
163.383083,1720100602985,2024-07-04T09:43:22.985-04:00,Berri / Cherrier,rental
164.267433,1720100656046,2024-07-04T09:44:16.046-04:00,Berri / Cherrier,rental
164.361550,1720100661693,2024-07-04T09:44:21.693-04:00,Berri / Cherrier,rental
164.739150,1720100684349,2024-07-04T09:44:44.349-04:00,Berri / Cherrier,return
164.849267,1720100690956,2024-07-04T09:44:50.956-04:00,Berri / Cherrier,rental
165.608733,1720100736524,2024-07-04T09:45:36.524-04:00,Prince-Arthur / St-Urbain,return
166.985083,1720100819105,2024-07-04T09:46:59.105-04:00,Prince-Arthur / St-Urbain,rental
167.220150,1720100833209,2024-07-04T09:47:13.209-04:00,de Maisonneuve / Aylmer (ouest),return
167.255683,1720100835341,2024-07-04T09:47:15.341-04:00,Prince-Arthur / St-Urbain,return
167.725317,1720100863519,2024-07-04T09:47:43.519-04:00,de Maisonneuve / Aylmer (ouest),return
167.876817,1720100872609,2024-07-04T09:47:52.609-04:00,Berri / Cherrier,return
169.666767,1720100980006,2024-07-04T09:49:40.006-04:00,Prince-Arthur / St-Urbain,rental
170.826300,1720101049578,2024-07-04T09:50:49.578-04:00,Prince-Arthur / St-Urbain,rental
172.073233,1720101124394,2024-07-04T09:52:04.394-04:00,Berri / Cherrier,rental
172.261667,1720101135700,2024-07-04T09:52:15.700-04:00,Berri / Cherrier,return
172.445417,1720101146725,2024-07-04T09:52:26.725-04:00,Prince-Arthur / St-Urbain,rental
172.495100,1720101149706,2024-07-04T09:52:29.706-04:00,Prince-Arthur / St-Urbain,rental
172.685633,1720101161138,2024-07-04T09:52:41.138-04:00,Prince-Arthur / St-Urbain,rental
173.101317,1720101186079,2024-07-04T09:53:06.079-04:00,Prince-Arthur / St-Urbain,rental
173.343500,1720101200610,2024-07-04T09:53:20.610-04:00,Prince-Arthur / St-Urbain,rental
173.353767,1720101201226,2024-07-04T09:53:21.226-04:00,Prince-Arthur / St-Urbain,rental
173.433783,1720101206027,2024-07-04T09:53:26.027-04:00,Berri / Cherrier,rental
173.729783,1720101223787,2024-07-04T09:53:43.787-04:00,Berri / Cherrier,return
174.410583,1720101264635,2024-07-04T09:54:24.635-04:00,Prince-Arthur / St-Urbain,rental
174.462450,1720101267747,2024-07-04T09:54:27.747-04:00,de Maisonneuve / Aylmer (ouest),rental
175.561717,1720101333703,2024-07-04T09:55:33.703-04:00,Prince-Arthur / St-Urbain,rental
178.545617,1720101512737,2024-07-04T09:58:32.737-04:00,de Maisonneuve / Aylmer (ouest),return
