split,block_id,workload_phase,requested_power_limit_w,time_s,preceding_interval_mean_power_w,observed_temperature_c,observed_temperature_rise_c,power_only_predicted_temperature_c,power_only_predicted_temperature_rise_c,phase_gain_predicted_temperature_c,phase_gain_predicted_temperature_rise_c
validation,phase_validation_pulse_01,prefill,55,45,54.767464925089755,67,13,66.269022044788812,12.269022044788812,67.704541271394362,13.704541271394362
validation,phase_validation_pulse_01,prefill,55,46,54.932396253425196,67,13,66.409002467595158,12.409002467595158,67.842469133333012,13.842469133333012
validation,phase_validation_pulse_01,prefill,55,47,54.957158847325445,68,14,66.545618508042878,12.545618508042878,67.976528547960811,13.976528547960811
validation,phase_validation_pulse_01,prefill,55,48,54.844267037685981,67,13,66.676653243295533,12.676653243295533,68.104282288288559,14.104282288288559
validation,phase_validation_pulse_01,prefill,55,49,54.860262483868965,68,14,66.804418152801432,12.804418152801432,68.228323927001981,14.228323927001981
validation,phase_validation_pulse_01,prefill,55,50,54.80109136757688,68,14,66.927741363126657,12.927741363126657,68.3473728153336,14.3473728153336
validation,phase_validation_pulse_01,prefill,55,51,53.061399898829812,68,14,67.018569044560593,13.018569044560593,68.430349182640626,14.430349182640626
validation,phase_validation_pulse_01,prefill,55,52,53.915395020324489,68,14,67.121261487599739,13.121261487599739,68.526594953078046,14.526594953078046
validation,phase_validation_pulse_01,prefill,55,53,54.878926658044996,68,14,67.237334708003289,13.237334708003289,68.637729676927137,14.637729676927137
validation,phase_validation_pulse_01,prefill,55,54,55.134647669390496,68,14,67.35456104462537,13.35456104462537,68.750129738373047,14.750129738373047
validation,phase_validation_pulse_01,prefill,55,55,54.97720029786894,69,15,67.465982635866865,13.465982635866865,68.856075710275263,14.856075710275263
validation,phase_validation_pulse_01,prefill,55,56,55.141000399431178,69,15,67.577141894138705,13.577141894138705,68.961741294759349,14.961741294759349
validation,phase_validation_pulse_01,prefill,55,57,54.940688970304798,69,15,67.681941608778104,13.681941608778104,69.06036741374821,15.06036741374821
validation,phase_validation_pulse_01,prefill,55,58,54.669836550554244,69,15,67.77937087716623,13.77937087716623,69.150863821484222,15.150863821484222
validation,phase_validation_pulse_01,prefill,55,59,54.848177430315651,69,15,67.877159385343774,13.877159385343774,69.241834984811248,15.241834984811248
