time_seconds,angle_radians,angle_degrees,normalized_energy,axial_force_newtons,target_action_squat,target_action_lean,realized_command_squat,realized_command_lean,seat_radius_fraction,taut,cumulative_slack_time_seconds,cumulative_snap_energy_loss_joules
1.929999999999967741e+01,1.329575841434012418e+00,7.617908425672408157e+01,4.413896477545902197e-01,1.432569023438410909e+02,8.219786286354064941e-01,-8.779134154319763184e-01,-5.452871419406816189e-01,-4.166844640836668834e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.931999999999967699e+01,1.330102141528019644e+00,7.620923903086803364e+01,4.407993350249708175e-01,1.475352999116177557e+02,8.625586032867431641e-01,-8.953431844711303711e-01,-5.328940650131669399e-01,-4.389348490884119602e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.933999999999967656e+01,1.328759517491895359e+00,7.613231234012529569e+01,4.401772497656115668e-01,1.534449915864446155e+02,8.975382447242736816e-01,-9.111745357513427734e-01,-5.209030872774221832e-01,-4.602149287698293900e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.935999999999967613e+01,1.325579894140447301e+00,7.595013334164607954e+01,4.395250327449372607e-01,1.609127442480998411e+02,9.270999431610107422e-01,-9.254981279373168945e-01,-5.093911235706344298e-01,-4.804910031300458351e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.937999999999967571e+01,1.320591301814847185e+00,7.566430805567783580e+01,4.388456983835334890e-01,1.699183712432320874e+02,9.514266848564147949e-01,-9.383988380432128906e-01,-4.984245851101483105e-01,-4.997398337159614790e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.939999999999967528e+01,1.313818000949575016e+00,7.527622650272543581e+01,4.381432744854268924e-01,1.804843211955061690e+02,9.706872701644897461e-01,-9.499530792236328125e-01,-4.880596514366978833e-01,-5.179478066744794829e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.941999999999967486e+01,1.305280704275067372e+00,7.478707543482506992e+01,4.374225484784178830e-01,1.926655325159571532e+02,9.850262403488159180e-01,-9.602262973785400391e-01,-4.783429013636301685e-01,-5.351098300972343402e-01,1.000000000000000222e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.943999999999967443e+01,1.294996866456802564e+00,7.419785493064146920e+01,4.366889287149623433e-01,2.065393773113862892e+02,9.945567846298217773e-01,-9.692720770835876465e-01,-4.693122126272393779e-01,-5.512280516456095070e-01,9.999999999999997780e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.945999999999967400e+01,1.282981013420308791e+00,7.350939726440093125e+01,4.359484159394991787e-01,2.221963522931101522e+02,9.993574023246765137e-01,-9.771307706832885742e-01,-4.609978413627062732e-01,-5.663104714295572606e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.947999999999967358e+01,1.269245089215290001e+00,7.272238677974175403e+01,4.352076712925349034e-01,2.397319454893714976e+02,9.994705319404602051e-01,-9.838296771049499512e-01,-4.534235998125120681e-01,-5.803695177286594120e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.949999999999967315e+01,1.253798803861314148e+00,7.183737981980419818e+01,4.344741603742359737e-01,2.592397137069891073e+02,9.949038624763488770e-01,-9.893827438354492188e-01,-4.466080608422096643e-01,-5.934206428692501145e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.951999999999967272e+01,1.236649970730623771e+00,7.085482405784152604e+01,4.337563528412213820e-01,2.808055783048669696e+02,9.856331348419189453e-01,-9.937911033630371094e-01,-4.405657287372647946e-01,-6.054809821308454465e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.953999999999967230e+01,1.217804826056233303e+00,6.977507680368550780e+01,4.330639569096140784e-01,3.045033577127733224e+02,9.716063737869262695e-01,-9.970434904098510742e-01,-4.353081284311826060e-01,-6.165681098451999409e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.955999999999967187e+01,1.197268326768728741e+00,6.859842206853808477e+01,4.324081715167817919e-01,3.303912307739330458e+02,9.527494311332702637e-01,-9.991167783737182617e-01,-4.308447759102506658e-01,-6.266989125772945979e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.957999999999967145e+01,1.175044425103996204e+00,6.732508629883514573e+01,4.318019416548824485e-01,3.585087031007061569e+02,9.289729595184326172e-01,-9.999771118164062500e-01,-4.271840008208402373e-01,-6.358885974642118910e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.959999999999967102e+01,1.151136320568014071e+00,6.595525281276579221e+01,4.312602010073646186e-01,3.888745915950207745e+02,9.001799821853637695e-01,-9.995807409286499023e-01,-4.243336010469138109e-01,-6.441498461303206691e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.961999999999967059e+01,1.125546691503291452e+00,6.448907506805187495e+01,4.308000893449948077e-01,4.214851313832820665e+02,8.662748932838439941e-01,-9.978752136230468750e-01,-4.223013152304662121e-01,-6.514921175665275843e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.963999999999967017e+01,1.098277909614896242e+00,6.292668895338405122e+01,4.304411295148488636e-01,4.563124248931471811e+02,8.271735310554504395e-01,-9.948005676269531250e-01,-4.210951026851568746e-01,-6.579211011888004279e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
