scenario,seed,controller,attempted_rentals,served_rentals,attempted_returns,accepted_returns,lost_rentals,rejected_returns,service_failures,bikes_moved,truck_distance_km,unrealized_transfer_bikes,terminal_imbalance,terminal_truck_inventory,objective
nominal,68,none,78,78,83,70,0,13,13,0,0.0,0,38.5,0,16.85
nominal,68,open_loop,78,78,83,73,0,10,10,6,0.8533739059724342,0,35.5,0,14.020674781194488
nominal,68,feedback,78,78,83,82,0,1,1,28,7.989112207862158,0,22.5,0,6.247822441572432
nominal,69,none,65,65,91,80,0,11,11,0,0.0,0,30.5,0,14.05
nominal,69,open_loop,65,65,91,83,0,8,8,6,0.8533739059724342,0,27.5,0,11.220674781194488
nominal,69,feedback,65,65,91,83,0,8,8,10,2.3986877133483513,0,24.5,0,11.42973754266967
nominal,70,none,55,55,87,79,0,8,8,0,0.0,0,31.5,0,11.15
nominal,70,open_loop,55,55,87,82,0,5,5,6,0.8533739059724342,0,33.5,0,8.820674781194487
nominal,70,feedback,55,55,87,83,0,4,4,8,0.8533739059724342,0,34.5,0,8.020674781194487
nominal,71,none,55,55,85,72,0,13,13,0,0.0,0,42.5,0,17.25
nominal,71,open_loop,55,55,85,75,0,10,10,6,0.8533739059724342,0,39.5,0,14.420674781194489
nominal,71,feedback,55,55,85,80,0,5,5,22,4.266869529862171,0,31.5,0,10.103373905972434
nominal,72,none,55,55,68,64,0,4,4,0,0.0,0,22.5,0,6.25
nominal,72,open_loop,55,55,68,67,0,1,1,6,0.8533739059724342,0,25.5,0,4.020674781194487
nominal,72,feedback,55,55,68,68,0,0,0,16,4.8479300099035125,0,19.5,0,3.7195860019807028
nominal,73,none,50,50,71,71,0,0,0,0,0.0,0,27.5,0,2.75
nominal,73,open_loop,50,50,71,70,0,1,1,6,0.8533739059724342,0,26.5,0,4.120674781194487
nominal,73,feedback,50,50,71,71,0,0,0,0,0.0,0,27.5,0,2.75
nominal,74,none,64,64,76,70,0,6,6,0,0.0,0,27.5,0,8.75
nominal,74,open_loop,64,64,76,73,0,3,3,6,0.8533739059724342,0,24.5,0,5.920674781194487
nominal,74,feedback,64,64,76,76,0,0,0,20,2.5601217179173026,0,18.5,0,3.3620243435834607
nominal,75,none,66,66,83,76,0,7,7,0,0.0,0,23.5,0,9.35
nominal,75,open_loop,66,66,83,78,0,5,5,6,0.8533739059724342,0,25.5,0,8.020674781194487
nominal,75,feedback,66,66,83,82,0,1,1,12,2.3986877133483513,0,23.5,0,4.42973754266967
nominal,76,none,65,65,64,64,0,0,0,0,0.0,0,29.5,0,2.95
nominal,76,open_loop,65,65,64,64,0,0,0,6,0.8533739059724342,0,23.5,0,2.8206747811944872
nominal,76,feedback,65,65,64,64,0,0,0,24,4.822652718300107,0,8.5,0,3.0145305436600216
nominal,77,none,60,60,84,75,0,9,9,0,0.0,0,24.5,0,11.45
nominal,77,open_loop,60,60,84,78,0,6,6,6,0.8533739059724342,0,24.5,0,8.920674781194487
nominal,77,feedback,60,60,84,78,0,6,6,14,2.3986877133483513,0,24.5,0,9.62973754266967
nominal,78,none,59,59,94,82,0,12,12,0,0.0,0,29.5,0,14.95
nominal,78,open_loop,59,59,94,84,0,10,10,6,0.8533739059724342,0,31.5,0,13.620674781194488
nominal,78,feedback,59,59,94,84,0,10,10,4,1.7067478119448685,0,31.5,0,13.691349562388973
nominal,79,none,74,74,75,72,0,3,3,0,0.0,0,33.5,0,6.35
nominal,79,open_loop,74,74,75,73,0,2,2,6,0.8533739059724342,0,34.5,0,5.920674781194487
nominal,79,feedback,74,74,75,73,0,2,2,14,3.252061619320785,0,27.5,0,6.100412323864157
nominal,80,none,63,63,85,74,0,11,11,0,0.0,0,28.5,0,13.85
nominal,80,open_loop,63,63,85,77,0,8,8,6,0.8533739059724342,0,25.5,0,11.020674781194488
nominal,80,feedback,63,63,85,78,0,7,7,12,1.7067478119448685,0,24.5,0,10.391349562388974
nominal,81,none,55,55,68,66,0,2,2,0,0.0,0,26.5,0,4.65
nominal,81,open_loop,55,55,68,68,0,0,0,6,0.8533739059724342,0,22.5,0,2.7206747811944867
nominal,81,feedback,55,55,68,68,0,0,0,14,0.8533739059724342,0,20.5,0,2.9206747811944873
nominal,82,none,59,59,80,67,0,13,13,0,0.0,0,23.5,0,15.35
nominal,82,open_loop,59,59,80,70,0,10,10,6,0.8533739059724342,0,20.5,0,12.520674781194488
nominal,82,feedback,59,59,80,74,0,6,6,16,2.5601217179173026,0,21.5,0,9.46202434358346
nominal,83,none,54,54,71,64,0,7,7,0,0.0,0,20.5,0,9.05
nominal,83,open_loop,54,54,71,67,0,4,4,6,0.8533739059724342,0,22.5,0,6.720674781194487
nominal,83,feedback,54,54,71,71,0,0,0,20,3.2773389109241906,0,23.5,0,4.005467782184838
nominal,84,none,66,66,85,65,0,20,20,0,0.0,0,29.5,0,22.95
nominal,84,open_loop,66,66,85,68,0,17,17,6,0.8533739059724342,0,26.5,0,20.120674781194488
nominal,84,feedback,66,66,85,77,0,8,8,24,7.246617723251864,0,18.5,0,12.499323544650371
nominal,85,none,76,68,69,65,8,4,12,0,0.0,0,33.5,0,15.35
nominal,85,open_loop,76,71,69,68,5,1,6,6,0.8533739059724342,0,33.5,0,9.820674781194487
nominal,85,feedback,76,76,69,69,0,0,0,42,8.32175047194858,0,9.5,0,4.714350094389716
nominal,86,none,71,71,72,67,0,5,5,0,0.0,0,34.5,0,8.45
nominal,86,open_loop,71,71,72,70,0,2,2,6,0.8533739059724342,0,32.5,0,5.720674781194487
nominal,86,feedback,71,71,72,72,0,0,0,38,6.418521108882835,0,7.5,0,3.9337042217765674
nominal,87,none,65,65,78,66,0,12,12,0,0.0,0,25.5,0,14.55
nominal,87,open_loop,65,65,78,69,0,9,9,6,0.8533739059724342,0,22.5,0,11.720674781194488
nominal,87,feedback,65,65,78,76,0,2,2,26,3.3882183322863315,0,20.5,0,6.027643666457267
nominal,88,none,68,67,74,74,1,0,1,0,0.0,0,28.5,0,3.85
nominal,88,open_loop,68,68,74,74,0,0,0,6,0.8533739059724342,0,23.5,0,2.8206747811944872
nominal,88,feedback,68,68,74,74,0,0,0,22,3.413495623889737,0,12.5,0,3.0326991247779476
nominal,89,none,62,62,59,54,0,5,5,0,0.0,0,38.5,0,8.85
nominal,89,open_loop,62,62,59,57,0,2,2,6,0.8533739059724342,0,35.5,0,6.0206747811944865
nominal,89,feedback,62,62,59,59,0,0,0,30,8.074714337620893,0,15.5,2,4.664942867524179
nominal,90,none,56,52,72,68,4,4,8,0,0.0,0,43.5,0,12.350000000000001
nominal,90,open_loop,56,55,72,71,1,1,2,6,0.8533739059724342,0,43.5,0,6.820674781194487
nominal,90,feedback,56,56,72,72,0,0,0,24,5.0949661442312,0,27.5,0,4.96899322884624
nominal,91,none,44,44,72,63,0,9,9,0,0.0,0,38.5,0,12.85
nominal,91,open_loop,44,44,72,66,0,6,6,6,0.8533739059724342,0,35.5,0,10.020674781194487
nominal,91,feedback,44,44,72,66,0,6,6,12,4.1054355252932195,0,29.5,0,10.371087105058644
nominal,92,none,69,69,68,64,0,4,4,0,0.0,0,35.5,0,7.550000000000001
nominal,92,open_loop,69,69,68,67,0,1,1,6,0.8533739059724342,0,32.5,0,4.720674781194487
nominal,92,feedback,69,69,68,68,0,0,0,41,8.185593758983034,0,10.5,3,4.737118751796607
nominal,93,none,59,59,97,84,0,13,13,0,0.0,0,31.5,0,16.15
nominal,93,open_loop,59,59,97,87,0,10,10,6,0.8533739059724342,0,34.5,0,13.920674781194489
nominal,93,feedback,59,59,97,87,0,10,10,6,1.681470520341463,0,34.5,0,14.086294104068294
